Name,hs,dhw,hs_and_dhw,cs,el
B1839,43.706,3.155,46.861000000000004,0.0,7.915
B1852,11.605,1.542,13.147,0.0,2.512
B2925,46.858,5.8,52.657999999999994,0.0,10.53
B1851,17.825,1.045,18.869999999999997,0.0,2.538
B1838,23.213,2.215,25.428,0.0,3.304
B1853,20.912,2.481,23.393,0.0,3.809
B1850,18.054,1.038,19.092,0.0,2.507
B1862,19.774,1.225,20.999000000000002,0.0,3.204
B1849,28.732,1.478,30.21,0.0,4.211
B2943,27.747,1.5,29.247,0.0,4.061
B1984,276.454,15.445,291.899,0.0,47.991
B1989,114.176,20.294,134.47,0.0,20.634
B1861,15.187,0.969,16.156,0.0,2.008
B1987,20.954,1.251,22.205000000000002,0.0,3.466
B1985,0.0,0.0,0.0,0.0,1.046
B1988,22.151,2.378,24.529,0.0,3.784
B1860,23.187,2.384,25.571,0.0,3.624
B1982,26.137,1.504,27.641000000000002,0.0,4.581
B1979,21.838,2.601,24.439,0.0,4.924
B1848,73.03,8.011,81.041,0.0,14.879
B2923,73.032,8.011,81.04299999999999,0.0,14.877
B2924,0.0,18.339,18.339,0.0,3.447
B2921,62.159,6.761,68.92,0.0,12.611
B2922,46.793,5.8,52.592999999999996,0.0,10.512
B3000,14.679,1.16,15.839,0.0,2.5
B2919,62.164,6.761,68.925,0.0,12.617
B1843,18.976,1.188,20.163999999999998,0.0,2.941
B2920,46.782,5.799,52.580999999999996,0.0,10.509
B1840,18.989,1.264,20.253,0.0,3.47
B1837,30.124,1.748,31.872,0.0,5.664
B1845,22.643,1.506,24.149,0.0,4.362
B1847,21.695,1.237,22.932000000000002,0.0,3.076
B1846,28.59,1.288,29.878,0.0,3.241
B1836,25.857,2.923,28.78,0.0,4.685
B2946,13.026,0.998,14.024,0.0,2.239
B1842,16.995,0.945,17.94,0.0,1.972
B1844,27.934,1.528,29.462,0.0,4.901
B2947,12.787,0.992,13.779,0.0,2.134
B2926,24.549,1.147,25.695999999999998,0.0,2.669
B2966,18.189,1.272,19.461,0.0,3.466
B2962,27.954,1.295,29.249000000000002,0.0,3.593
B2937,12.6,0.971,13.571,0.0,2.069
B2997,22.778,1.234,24.012,0.0,3.178
B1857,19.228,1.141,20.369,0.0,2.656
B2998,13.23,1.206,14.436,0.0,3.005
B2969,18.383,1.273,19.656,0.0,3.466
B2987,28.64,1.251,29.891000000000002,0.0,3.28
B2980,24.689,1.295,25.984,0.0,3.586
B3003,13.526,1.055,14.581,0.0,2.272
B1995,30.096,3.095,33.191,0.0,5.186
B1999,49.601,2.943,52.544,0.0,4.873
B2768,32.927,1.838,34.765,0.0,2.559
B1998,22.89,0.991,23.881,0.0,2.193
B1859,49.169,2.435,51.604,0.0,10.057
B2001,30.256,1.197,31.453,0.0,2.877
B1997,14.733,1.74,16.473,0.0,3.046
B1996,25.972,2.559,28.531000000000002,0.0,4.151
B2000,21.88,1.265,23.145,0.0,3.574
B1992,128.832,1.878,130.70999999999998,0.0,6.573
B1856,31.673,0.998,32.671,0.0,2.268
B2968,21.748,1.264,23.012,0.0,3.14
B2953,16.209,1.267,17.476,0.0,3.023
B2959,19.371,1.181,20.552,0.0,2.751
B1855,63.151,3.063,66.214,0.0,13.317
B2975,14.048,1.363,15.411,0.0,2.773
B2967,14.363,1.362,15.725,0.0,2.861
B1835,64.319,2.825,67.144,0.0,12.742
B2988,13.024,1.058,14.081999999999999,0.0,2.536
B2990,10.203,1.031,11.234,0.0,2.401
B2010,45.602,3.641,49.242999999999995,0.0,6.178
B2009,76.974,9.802,86.77600000000001,0.0,16.406
B2011,132.378,3.585,135.963,0.0,25.823
B1950,96.158,3.65,99.808,0.0,6.412
B1949,79.256,3.293,82.549,0.0,5.542
B1945,78.109,9.029,87.13799999999999,0.0,16.766
B1939,156.655,25.601,182.256,0.0,53.96
B1944,35.141,4.946,40.086999999999996,0.0,9.631
B3004,106.857,16.82,123.67699999999999,0.0,33.313
B3006,96.822,12.878,109.7,0.0,25.448
