Name,hs,dhw,hs_and_dhw,cs,el
B1839,50.197,3.274,53.471000000000004,0.0,7.926
B1852,12.174,1.583,13.757,0.0,2.514
B2925,48.93,5.97,54.9,0.0,10.533
B1851,17.564,1.077,18.641,0.0,2.538
B1838,23.042,2.293,25.335,0.0,3.303
B1853,21.903,2.553,24.456,0.0,3.81
B1850,17.436,1.071,18.507,0.0,2.506
B1862,20.726,1.265,21.991,0.0,3.205
B1849,25.39,1.528,26.918,0.0,4.206
B2943,24.5,1.552,26.052,0.0,4.055
B1984,317.115,15.995,333.11,0.0,48.06
B1989,126.134,20.998,147.132,0.0,20.858
B1861,14.887,0.999,15.886000000000001,0.0,2.008
B1987,21.948,1.293,23.241,0.0,3.468
B1985,0.0,0.0,0.0,0.0,1.046
B1988,23.188,2.463,25.651,0.0,3.785
B1860,24.329,2.469,26.798000000000002,0.0,3.625
B1982,27.355,1.555,28.91,0.0,4.583
B1979,23.178,2.676,25.854,0.0,4.928
B1848,76.199,8.255,84.454,0.0,14.885
B2923,76.304,8.255,84.559,0.0,14.883
B2924,0.0,18.974,18.974,0.0,3.447
B2921,64.929,6.964,71.893,0.0,12.616
B2922,48.95,5.97,54.92,0.0,10.515
B3000,15.344,1.2,16.544,0.0,2.501
B2919,64.921,6.965,71.88600000000001,0.0,12.622
B1843,16.48,1.229,17.709,0.0,2.937
B2920,48.938,5.97,54.908,0.0,10.513
B1840,19.903,1.303,21.206,0.0,3.471
B1837,31.506,1.799,33.305,0.0,5.666
B1845,23.727,1.544,25.271,0.0,4.363
B1847,20.483,1.278,21.761,0.0,3.074
B1846,22.166,1.331,23.497,0.0,3.231
B1836,27.096,3.018,30.114,0.0,4.687
B2946,13.628,1.03,14.658,0.0,2.24
B1842,12.209,0.976,13.184999999999999,0.0,1.964
B1844,28.35,1.581,29.931,0.0,4.902
B2947,13.374,1.023,14.397,0.0,2.135
B2926,15.963,1.184,17.147,0.0,2.654
B2966,19.001,1.316,20.317,0.0,3.468
B2962,19.492,1.339,20.831,0.0,3.579
B2937,13.199,1.002,14.201,0.0,2.07
B2997,17.737,1.276,19.012999999999998,0.0,3.17
B1857,15.958,1.177,17.135,0.0,2.65
B2998,13.808,1.23,15.038,0.0,3.006
B2969,19.009,1.316,20.325,0.0,3.467
B2987,18.21,1.293,19.503,0.0,3.263
B2980,19.489,1.339,20.828,0.0,3.578
B3003,14.134,1.088,15.222000000000001,0.0,2.273
B1995,31.497,3.206,34.703,0.0,5.188
B1999,31.861,3.049,34.910000000000004,0.0,4.843
B2768,16.663,1.904,18.567,0.0,2.533
B1998,13.614,1.022,14.636000000000001,0.0,2.178
B1859,51.393,2.486,53.879,0.0,10.061
B2001,19.114,1.237,20.351,0.0,2.859
B1997,15.578,1.787,17.365,0.0,3.049
B1996,27.24,2.651,29.891,0.0,4.153
B2000,22.632,1.307,23.939,0.0,3.575
B1992,40.441,1.91,42.351,0.0,6.424
B1856,14.231,1.03,15.261,0.0,2.24
B2968,18.101,1.307,19.407999999999998,0.0,3.134
B2953,16.925,1.311,18.236,0.0,3.024
B2959,15.986,1.221,17.207,0.0,2.745
B1855,66.036,3.134,69.17,0.0,13.322
B2975,14.685,1.4,16.085,0.0,2.774
B2967,15.03,1.402,16.432,0.0,2.862
B1835,66.704,2.839,69.54299999999999,0.0,12.746
B2988,13.615,1.086,14.701,0.0,2.537
B2990,10.637,1.039,11.676,0.0,2.402
B2010,36.152,3.765,39.917,0.0,6.162
B2009,80.431,10.077,90.508,0.0,16.413
B2011,140.161,3.666,143.827,0.0,25.838
B1950,39.856,3.752,43.608000000000004,0.0,6.316
B1949,36.112,3.393,39.505,0.0,5.469
B1945,81.652,9.303,90.955,0.0,16.772
B1939,169.133,26.46,195.59300000000002,0.0,53.984
B1944,37.414,5.1,42.514,0.0,9.639
B3004,115.519,17.357,132.876,0.0,33.331
B3006,101.165,13.288,114.453,0.0,25.456
B1858,20.555,2.313,22.868,0.0,3.999
B1993,30.927,3.273,34.2,0.0,5.158
B2006,32.115,3.03,35.145,0.0,4.656
B1834,31.504,1.901,33.405,0.0,5.703
B2008,38.665,4.1,42.765,0.0,6.891
B2769,28.702,3.036,31.738000000000003,0.0,4.775
B1948,23.772,2.841,26.613,0.0,4.269
B2004,35.247,1.941,37.188,0.0,5.69
B2007,37.063,4.79,41.853,0.0,8.417
B1947,29.106,2.866,31.972,0.0,4.553
B2976,14.689,1.407,16.096,0.0,2.774
B1822,13.968,1.107,15.075,0.0,2.61
B2999,14.56,1.236,15.796000000000001,0.0,2.773
B2989,14.935,1.258,16.193,0.0,2.863
B2991,14.55,1.234,15.784,0.0,2.771
B2992,14.941,1.259,16.2,0.0,2.862
B1827,21.966,1.571,23.537000000000003,0.0,4.036
B1818,34.989,3.994,38.983,0.0,6.596
B2972,14.564,1.235,15.799,0.0,2.774
B2993,14.571,1.235,15.806,0.0,2.773
B1646,20.919,1.858,22.777,0.0,3.682
B1636,165.926,3.174,169.1,0.0,42.93
B1634,36.55,4.071,40.620999999999995,0.0,7.037
B2933,36.788,4.344,41.132,0.0,7.038
B2938,46.681,5.116,51.797,0.0,8.909
B1841,22.029,3.051,25.08,0.0,5.46
B1632,18.574,1.643,20.217000000000002,0.0,4.938
B1854,25.481,1.57,27.051000000000002,0.0,4.827
B1644,22.635,2.185,24.82,0.0,5.118
B1821,24.47,1.56,26.029999999999998,0.0,4.592
B1645,33.088,1.945,35.033,0.0,6.279
B1823,18.306,1.265,19.571,0.0,3.129
B1826,14.139,1.05,15.189,0.0,2.376
B1648,26.206,1.679,27.884999999999998,0.0,4.772
B2942,15.479,1.245,16.724,0.0,2.71
B1647,39.298,2.489,41.787,0.0,8.266
B1820,13.919,1.036,14.955,0.0,2.323
B1649,18.787,1.331,20.118,0.0,3.286
B1825,12.92,0.903,13.823,0.0,2.737
B2983,15.03,1.408,16.438,0.0,2.862
B1650,23.025,1.399,24.424,0.0,3.896
B2944,16.823,1.31,18.133,0.0,2.974
B1824,16.015,1.278,17.293,0.0,2.804
B2982,14.749,1.497,16.246000000000002,0.0,2.775
B2970,15.079,1.499,16.578,0.0,2.864
B1635,37.522,4.259,41.781,0.0,7.097
B2935,37.077,4.748,41.824999999999996,0.0,7.045
B2932,46.871,5.403,52.274,0.0,8.896
B2931,39.232,4.678,43.91,0.0,7.464
B2930,48.078,5.682,53.760000000000005,0.0,9.075
B2929,39.016,4.765,43.781,0.0,7.423
B2940,42.347,5.416,47.763000000000005,0.0,9.467
B2941,54.963,6.626,61.589,0.0,11.948
B2952,29.837,3.962,33.799,0.0,5.932
B2960,14.939,1.258,16.197,0.0,2.863
B2979,14.562,1.236,15.798,0.0,2.774
B2927,44.193,5.567,49.76,0.0,8.787
B2964,14.921,1.258,16.179,0.0,2.86
B1833,17.605,1.282,18.887,0.0,2.952
B2954,48.04,5.576,53.616,0.0,9.078
B2965,14.572,1.234,15.806,0.0,2.774
B2951,44.176,5.567,49.743,0.0,8.787
B1830,14.918,1.257,16.175,0.0,2.859
B1652,53.989,6.336,60.324999999999996,0.0,10.44
B1642,38.891,4.691,43.582,0.0,7.938
B2552,16.56,2.325,18.884999999999998,0.0,4.175
B2553,12.145,2.321,14.466,0.0,4.082
B1643,39.752,4.161,43.913000000000004,0.0,6.987
B2555,16.533,2.32,18.853,0.0,4.09
B2549,40.129,4.109,44.238,0.0,7.03
B1597,87.846,16.094,103.94,0.0,32.828
B1594,35.438,5.599,41.037000000000006,0.0,10.789
B1641,42.384,5.416,47.8,0.0,9.467
B2772,55.044,6.626,61.669999999999995,0.0,11.949
B2771,58.649,7.242,65.891,0.0,13.371
B2770,41.896,5.002,46.898,0.0,8.588
B1638,40.409,4.805,45.214,0.0,8.212
B1639,57.045,6.404,63.449,0.0,11.272
B1640,53.299,5.898,59.197,0.0,10.237
B1629,232.577,14.004,246.581,0.0,37.326
B1653,43.33,5.938,49.268,0.0,11.633
B2544,39.424,4.612,44.036,0.0,7.804
