Name,hs,dhw,hs_and_dhw,cs,el
B1839,41.85,3.114,44.964,0.0,7.912
B1852,11.054,1.524,12.578,0.0,2.51
B2925,88.452,5.725,94.17699999999999,0.0,10.602
B1851,56.201,1.029,57.230000000000004,0.0,2.6
B1838,66.613,2.181,68.794,0.0,3.375
B1853,49.82,2.452,52.272,0.0,3.856
B1850,51.236,1.023,52.259,0.0,2.561
B1862,63.403,1.206,64.609,0.0,3.275
B1849,77.752,1.459,79.211,0.0,4.292
B2943,74.814,1.481,76.29499999999999,0.0,4.139
B1984,264.809,15.235,280.04400000000004,0.0,47.971
B1989,109.916,19.997,129.913,0.0,20.634
B1861,48.302,0.954,49.256,0.0,2.061
B1987,67.682,1.232,68.914,0.0,3.543
B1985,0.0,0.0,0.0,0.0,1.046
B1988,60.363,2.351,62.714,0.0,3.846
B1860,71.76,2.347,74.107,0.0,3.704
B1982,83.296,1.49,84.786,0.0,4.676
B1979,20.608,2.569,23.177,0.0,4.919
B1848,148.559,7.906,156.465,0.0,15.015
B2923,157.119,7.905,165.024,0.0,15.028
B2924,0.0,18.066,18.066,0.0,3.447
B2921,130.986,6.672,137.658,0.0,12.732
B2922,97.203,5.725,102.928,0.0,10.599
B3000,43.498,1.147,44.644999999999996,0.0,2.547
B2919,125.386,6.673,132.059,0.0,12.728
B1843,48.033,1.174,49.207,0.0,2.988
B2920,93.659,5.725,99.384,0.0,10.591
B1840,60.784,1.253,62.037,0.0,3.538
B1837,90.272,1.731,92.003,0.0,5.765
B1845,66.024,1.492,67.516,0.0,4.433
B1847,65.329,1.218,66.547,0.0,3.147
B1846,69.248,1.268,70.516,0.0,3.308
B1836,73.457,2.887,76.344,0.0,4.763
B2946,38.015,0.983,38.998,0.0,2.279
B1842,40.726,0.93,41.656,0.0,2.01
B1844,86.134,1.514,87.648,0.0,4.998
B2947,39.101,0.976,40.077,0.0,2.177
B2926,48.881,1.129,50.01,0.0,2.709
B2966,57.507,1.262,58.769,0.0,3.531
B2962,59.132,1.285,60.416999999999994,0.0,3.645
B2937,39.674,0.956,40.63,0.0,2.113
B2997,57.179,1.22,58.399,0.0,3.234
B1857,46.3,1.123,47.422999999999995,0.0,2.7
B2998,27.182,1.196,28.378,0.0,3.028
B2969,57.556,1.262,58.818,0.0,3.531
B2987,53.654,1.237,54.891000000000005,0.0,3.321
B2980,57.599,1.285,58.88399999999999,0.0,3.641
B3003,37.392,1.038,38.43,0.0,2.311
B1995,86.166,3.058,89.22399999999999,0.0,5.28
B1999,98.942,2.898,101.83999999999999,0.0,4.957
B2768,51.816,1.81,53.626000000000005,0.0,2.59
B1998,56.608,0.975,57.583,0.0,2.248
B1859,127.617,2.408,130.025,0.0,10.189
B2001,70.325,1.179,71.504,0.0,2.942
B1997,13.93,1.72,15.65,0.0,3.043
B1996,71.238,2.52,73.758,0.0,4.225
B2000,69.564,1.245,70.809,0.0,3.652
B1992,229.06,1.86,230.92000000000002,0.0,6.742
B1856,48.974,0.983,49.956999999999994,0.0,2.296
B2968,58.459,1.247,59.706,0.0,3.201
B2953,41.598,1.257,42.855,0.0,3.065
B2959,47.7,1.162,48.862,0.0,2.797
B1855,169.696,3.027,172.72299999999998,0.0,13.497
B2975,38.474,1.352,39.82599999999999,0.0,2.814
B2967,37.516,1.351,38.867,0.0,2.9
B1835,151.267,2.81,154.077,0.0,12.894
B2988,35.774,1.051,36.825,0.0,2.573
B2990,17.083,1.024,18.107,0.0,2.412
B2010,101.349,3.597,104.946,0.0,6.272
B2009,130.15,9.678,139.828,0.0,16.518
B2011,129.153,3.546,132.69899999999998,0.0,25.817
B1950,199.905,3.605,203.51,0.0,6.588
B1949,190.943,3.253,194.19600000000003,0.0,5.73
B1945,152.566,8.911,161.477,0.0,16.903
B1939,148.039,25.247,173.286,0.0,53.943
B1944,33.103,4.881,37.984,0.0,9.624
B3004,101.068,16.596,117.664,0.0,33.301
B3006,93.353,12.703,106.056,0.0,25.442
B1858,18.376,2.223,20.599,0.0,3.992
B1993,86.375,3.128,89.503,0.0,5.251
B2006,159.908,2.901,162.809,0.0,4.87
B1834,88.072,1.832,89.904,0.0,5.799
B2008,96.082,3.922,100.00399999999999,0.0,6.989
B2769,140.827,2.922,143.749,0.0,4.964
B1948,117.716,2.736,120.452,0.0,4.425
B2004,193.291,1.89,195.18099999999998,0.0,5.961
B2007,51.679,4.597,56.276,0.0,8.442
B1947,156.27,2.757,159.02700000000002,0.0,4.765
B2976,37.828,1.359,39.187000000000005,0.0,2.813
B1822,37.955,1.07,39.025,0.0,2.649
B2999,38.111,1.194,39.305,0.0,2.811
B2989,38.517,1.217,39.734,0.0,2.901
B2991,35.171,1.193,36.364,0.0,2.805
B2992,40.946,1.216,42.162,0.0,2.904
B1827,65.804,1.516,67.32000000000001,0.0,4.108
B1818,71.878,3.837,75.715,0.0,6.659
B2972,35.334,1.194,36.528000000000006,0.0,2.808
B2993,36.125,1.194,37.319,0.0,2.808
B1646,47.706,1.796,49.502,0.0,3.73
B1636,139.592,3.086,142.67800000000003,0.0,42.883
B1634,60.032,3.909,63.940999999999995,0.0,7.076
B2933,74.855,4.179,79.034,0.0,7.104
B2938,88.0,4.906,92.906,0.0,8.979
B1841,19.494,2.927,22.421,0.0,5.452
B1632,26.224,1.603,27.827,0.0,4.951
B1854,73.163,1.521,74.684,0.0,4.905
B1644,37.851,2.137,39.988,0.0,5.145
B1821,63.888,1.511,65.399,0.0,4.657
B1645,75.855,1.894,77.74900000000001,0.0,6.351
B1823,50.184,1.214,51.397999999999996,0.0,3.181
B1826,41.807,1.001,42.808,0.0,2.421
B1648,68.982,1.627,70.609,0.0,4.844
B2942,38.114,1.19,39.303999999999995,0.0,2.747
B1647,84.779,2.417,87.196,0.0,8.345
B1820,41.582,0.988,42.57,0.0,2.368
B1649,51.62,1.281,52.900999999999996,0.0,3.34
B1825,11.574,0.882,12.456,0.0,2.733
B2983,35.169,1.358,36.526999999999994,0.0,2.895
B1650,64.711,1.35,66.06099999999999,0.0,3.965
B2944,40.334,1.256,41.59,0.0,3.013
B1824,41.479,1.219,42.698,0.0,2.846
B2982,41.073,1.443,42.516,0.0,2.82
B2970,35.566,1.444,37.010000000000005,0.0,2.899
B1635,73.88,4.088,77.96799999999999,0.0,7.158
B2935,71.645,4.573,76.21799999999999,0.0,7.11
B2932,108.285,5.184,113.469,0.0,9.006
B2931,81.985,4.496,86.481,0.0,7.539
B2930,103.321,5.455,108.776,0.0,9.178
B2929,78.801,4.585,83.386,0.0,7.495
B2940,39.245,5.196,44.440999999999995,0.0,9.461
B2941,84.551,6.351,90.902,0.0,12.0
B2952,58.682,3.817,62.499,0.0,5.983
B2960,37.682,1.217,38.899,0.0,2.9
B2979,38.551,1.194,39.745000000000005,0.0,2.813
B2927,85.498,5.356,90.854,0.0,8.864
B2964,36.946,1.216,38.162,0.0,2.896
B1833,52.912,1.228,54.14,0.0,3.009
B2954,108.935,5.352,114.287,0.0,9.19
B2965,34.295,1.194,35.489000000000004,0.0,2.806
B2951,83.532,5.356,88.88799999999999,0.0,8.86
B1830,35.091,1.216,36.307,0.0,2.892
B1652,106.211,6.087,112.298,0.0,10.537
